review,rating,date,bank,source
Best Mobile Banking app ever,5,2025-06-04,Commercial Bank of Ethiopia,Google Play
good,5,2025-06-04,Commercial Bank of Ethiopia,Google Play
it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,2,2025-06-04,Commercial Bank of Ethiopia,Google Play
dedeb,5,2025-06-04,Commercial Bank of Ethiopia,Google Play
good,5,2025-06-04,Commercial Bank of Ethiopia,Google Play
Good,5,2025-06-04,Commercial Bank of Ethiopia,Google Play
👌👍,5,2025-06-04,Commercial Bank of Ethiopia,Google Play
very niec,5,2025-06-04,Commercial Bank of Ethiopia,Google Play
best app of finance,5,2025-06-04,Commercial Bank of Ethiopia,Google Play
yetemeta,1,2025-06-03,Commercial Bank of Ethiopia,Google Play
Engida Kebede Fetera,5,2025-06-03,Commercial Bank of Ethiopia,Google Play
good,5,2025-06-03,Commercial Bank of Ethiopia,Google Play
it is not safety,1,2025-06-03,Commercial Bank of Ethiopia,Google Play
NICE bank,5,2025-06-03,Commercial Bank of Ethiopia,Google Play
it is like a childish app make it better the worst I have ever seen,1,2025-06-02,Commercial Bank of Ethiopia,Google Play
"It's a problem solver application, go ahead CBE, I love so much.",5,2025-06-02,Commercial Bank of Ethiopia,Google Play
It's good but try to make it facilitate for your client,4,2025-06-02,Commercial Bank of Ethiopia,Google Play
best app,5,2025-06-01,Commercial Bank of Ethiopia,Google Play
Awesome bank,5,2025-06-01,Commercial Bank of Ethiopia,Google Play
this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,5,2025-05-31,Commercial Bank of Ethiopia,Google Play
Masha alla,5,2025-05-31,Commercial Bank of Ethiopia,Google Play
"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",2,2025-05-31,Commercial Bank of Ethiopia,Google Play
better service,5,2025-05-31,Commercial Bank of Ethiopia,Google Play
"it,s good app and time manager 👍",5,2025-05-30,Commercial Bank of Ethiopia,Google Play
malkaamuu Jiidhaa Namoo,5,2025-05-30,Commercial Bank of Ethiopia,Google Play
lower system everything,3,2025-05-30,Commercial Bank of Ethiopia,Google Play
Nice!,5,2025-05-30,Commercial Bank of Ethiopia,Google Play
Keep it up My CBE,5,2025-05-29,Commercial Bank of Ethiopia,Google Play
yes good,5,2025-05-28,Commercial Bank of Ethiopia,Google Play
"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",4,2025-05-27,Commercial Bank of Ethiopia,Google Play
i like everything of this app,5,2025-05-27,Commercial Bank of Ethiopia,Google Play
good,5,2025-05-27,Commercial Bank of Ethiopia,Google Play
🤬🤬🤬🤬 network 🛜,1,2025-05-26,Commercial Bank of Ethiopia,Google Play
Best,5,2025-05-26,Commercial Bank of Ethiopia,Google Play
CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,5,2025-05-26,Commercial Bank of Ethiopia,Google Play
nice,5,2025-05-26,Commercial Bank of Ethiopia,Google Play
good job,5,2025-05-26,Commercial Bank of Ethiopia,Google Play
Good,5,2025-05-25,Commercial Bank of Ethiopia,Google Play
it's awesome!!,5,2025-05-25,Commercial Bank of Ethiopia,Google Play
best,5,2025-05-25,Commercial Bank of Ethiopia,Google Play
thankyou every one,5,2025-05-25,Commercial Bank of Ethiopia,Google Play
best app,5,2025-05-25,Commercial Bank of Ethiopia,Google Play
Ronaldo 🇵🇹 🥇,5,2025-05-25,Commercial Bank of Ethiopia,Google Play
"this app is absolutely fantastic I love it and I enjoying to it ,let us support this foundation together .",5,2025-05-25,Commercial Bank of Ethiopia,Google Play
